Age,Birthplace,Degree,GADT_Cat,GAD_T,Game,Gender,Hours,League_clean,Narcissism,Narcissism_Cat,Platform,Playstyle_clean,Residence,SPINT_Cat,SPIN_T,SWLT_Cat,SWL_T,Work,earnings_clean,whyplay_clean
31,Netherlands,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,12.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Netherlands,None,11.0,Slightly satisfied,25,Employed,Fun,improving
24,Germany,Bachelor (or equivalent),mild anxiety,8,League of Legends,Male,8.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with online acquaintances or teammates,Germany,None,17.0,Slightly dissatisfied,18,Employed,Fun,improving
18,USA,None,minimal anxiety,0,League of Legends,Male,18.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,USA,None,1.0,Slightly dissatisfied,17,Student at school,Fun,improving
25,Australia,Bachelor (or equivalent),minimal anxiety,0,League of Legends,Male,30.0,master,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Australia,None,7.0,Slightly dissatisfied,17,Student at college / university,Earning while playing,improving
20,Spain,Master (or equivalent),mild anxiety,7,League of Legends,Male,10.0,diamond,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Spain,None,20.0,Slightly dissatisfied,18,Student at college / university,Fun,improving
18,USA,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,15.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,USA,Mild,23.0,Slightly satisfied,22,Student at school,Fun,improving
26,Germany,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,30.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Germany,Mild,23.0,Neutral,20,Employed,Fun,improving
18,Germany,None,minimal anxiety,4,League of Legends,Male,5.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,7.0,Slightly satisfied,23,Student at school,Fun,fun
23,USA,Bachelor (or equivalent),minimal anxiety,2,League of Legends,Male,7.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,None,8.0,Slightly satisfied,25,Employed,Fun,fun
19,Slovakia,High school diploma (or equivalent),mild anxiety,6,League of Legends,Male,14.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Slovakia,Moderate,31.0,Slightly dissatisfied,19,Student at college / university,Fun,fun
18,USA,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,30.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,None,1.0,Slightly satisfied,24,Student at college / university,Fun,improving
18,Czech Republic,High school diploma (or equivalent),moderate anxiety,14,League of Legends,Male,20.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Czech Republic,None,18.0,dissatisfied,10,Unemployed / between jobs,Fun,improving
24,Denmark,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,15.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Denmark,Moderate,40.0,Slightly dissatisfied,19,Employed,Fun,relaxing
20,UK,None,minimal anxiety,1,League of Legends,Male,25.0,silver,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,UK,Moderate,31.0,Slightly dissatisfied,17,Employed,Fun,winning
18,Belgium,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,2.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Belgium,Mild,30.0,Slightly dissatisfied,16,Student at college / university,Fun,improving
20,Austria,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,30.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Austria,Mild,21.0,Neutral,20,Student at school,Fun,improving
18,Bulgaria,Bachelor (or equivalent),minimal anxiety,1,League of Legends,Male,20.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Bulgaria,Mild,30.0,Slightly satisfied,24,Student at school,Fun,relaxing
29,USA,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,20.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,USA,None,18.0,Neutral,20,Employed,Fun,improving
20,Austria,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,30.0,silver,1.0,Not Very True of me,PC,singleplayer,Austria,Moderate,35.0,dissatisfied,14,Unemployed / between jobs,Fun,improving
23,USA,"Ph.D., Psy. D., MD (or equivalent)",minimal anxiety,1,League of Legends,Male,20.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,USA,None,0.0,Extremely satisfied,34,Student at school,Fun,improving
20,Germany,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,25.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Germany,None,3.0,Slightly dissatisfied,17,Student at college / university,Hoping to earn,improving
18,Denmark,None,minimal anxiety,1,League of Legends,Male,14.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Denmark,Mild,22.0,Slightly dissatisfied,15,Student at school,Fun,improving
29,Canada,Bachelor (or equivalent),mild anxiety,9,League of Legends,Female,20.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Canada,Moderate,37.0,Slightly satisfied,23,Employed,Fun,fun
24,France,Master (or equivalent),minimal anxiety,2,League of Legends,Male,16.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,France,None,12.0,Satisfied,29,Employed,Fun,fun
20,Georgia,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,20.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Germany,None,15.0,Slightly dissatisfied,16,Student at college / university,Fun,improving
23,USA,Bachelor (or equivalent),mild anxiety,6,League of Legends,Male,16.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,USA,Mild,25.0,Extremely satisfied,34,Employed,Fun,improving
19,Germany,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,28.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Germany,None,10.0,Slightly dissatisfied,18,Student at school,Fun,improving
30,China,Master (or equivalent),mild anxiety,6,League of Legends,Male,10.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Canada,None,8.0,Slightly satisfied,24,Employed,Fun,fun
20,Belgium,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,20.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Belgium,None,7.0,Satisfied,29,Student at school,Fun,fun
18,Germany,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,25.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Germany,Moderate,32.0,Slightly satisfied,21,Unemployed / between jobs,Fun,fun
22,Germany,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,27.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Germany,None,5.0,Slightly satisfied,23,Student at college / university,Fun,fun
